rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
FIB_618_SHORT,SHORT,market,3,0.00017152658662092623,0.9617152186672367,0.49414591307341055,0.3333333333333333,1.3042326181886486,0.5859186786437969,0.3333333333333333,-0.05354230184176978,-0.010425855238770636,0.6666666666666666,0.7374685116713717,0,False,True,False,17490,too few signals
ANTI_WHALE_EXIT,EXIT,market,68,0.0038879359634076617,0.31239186695894056,1.20008199695634,0.5147058823529411,1.015479624902585,2.1407981114465366,0.5882352941176471,0.8455560676573505,1.3339062729121083,0.5970149253731343,0.7244758531729586,1,False,True,False,17490,too few signals
EMERGENCY_EXIT_02,EXIT100,market,66,0.0037735849056603774,0.3331948593807706,1.2440355968746815,0.5303030303030303,1.0051598997062008,2.0598171134576893,0.5757575757575758,0.7892988054987736,1.2162513326706066,0.6,0.7092178548619149,1,False,True,False,17490,too few signals
SWING_REVERSAL_BUY,LONG,market,760,0.04345340194396798,0.10934544853397817,1.5078387358237566,0.5763157894736842,0.3459688740521495,2.2575768718306186,0.5744400527009222,0.772904700257312,3.1879946287270866,0.5576158940397351,0.4094063409478132,3,True,True,True,17490,kept
TREND_RESUME_04,LONG,market,75,0.004288164665523156,0.319912476455197,1.5531222546740215,0.41333333333333333,0.412434764562286,0.9290804053301177,0.52,0.43991492711608715,0.6854102539383058,0.48,0.39075405604452335,1,False,True,False,17490,too few signals
FAILED_WAVE,EXIT,market,138,0.007890222984562607,0.06427329570686333,0.32341302482562856,0.5144927536231884,0.35302182304720214,0.8231762736772552,0.5217391304347826,0.7258514013531039,1.1982200658864115,0.5072463768115942,0.3810488400357231,0,True,True,False,17490,no consistent edge
BOS_CONTINUE_SHORT,SHORT,market,220,0.012578616352201259,0.13264405670818782,0.8295575540948241,0.509090909090909,0.36113898154746005,1.0933520611496905,0.4863636363636364,0.5978778208613629,1.2868092354076603,0.5590909090909091,0.3638869530390036,0,True,True,False,17490,no consistent edge
SUPPORT_MAJOR,LONG,market,1358,0.07764436821040595,0.12185737676839965,1.393630908580016,0.5368188512518409,0.325303150986501,2.0560901149707287,0.561119293078056,0.6224975667199917,2.641288857297763,0.5427098674521355,0.35655269815829743,2,True,True,True,17490,kept
MULTI_SWING_BUY_01,LONG,market,231,0.013207547169811321,0.05318931152554167,0.41090549295218465,0.47619047619047616,0.32451400456031754,1.1922025490845822,0.4935064935064935,0.5113541412314582,1.1512295018234149,0.49783549783549785,0.2963524857724391,0,True,True,False,17490,no consistent edge
RESISTANCE_BREAK,LONG,market,219,0.012521440823327616,0.039564459255245724,0.2675200257547971,0.4292237442922374,0.2802658318882931,0.9588995373884226,0.4520547945205479,0.4883760230084302,1.0455523409374794,0.5296803652968036,0.269402104717323,0,True,True,False,17490,no consistent edge
STRUCTURE_FAILURE_SHORT,EXIT100,market,1169,0.06683819325328759,-0.0651010384817866,-1.2731584362547848,0.5115483319076134,0.1834332028089556,1.5822184079100248,0.5081266039349872,0.6783958629670124,3.9330719746537595,0.5269461077844312,0.26557600909806045,2,True,True,True,17490,kept
BOS_CONTINUE_LONG,LONG,market,163,0.00931961120640366,0.244861322285512,1.6281187600824083,0.49693251533742333,0.376490255160293,1.2259663514840133,0.5398773006134969,0.042097085692578196,0.08094355999158578,0.5214723926380368,0.22114955437946104,1,True,True,False,17490,no consistent edge
PRESSURE_EXHAUSTION,EXIT50,market,1561,0.08925100057175529,0.06081778485233353,1.286475092503464,0.5137908915971777,0.17643416859259697,1.7248557835842449,0.5134788189987163,0.4110340297877705,2.4375567445354904,0.5292981326464906,0.21609532774423368,2,True,True,True,17490,kept
STRUCTURE_WEAKENING,EXIT,market,499,0.028530588907947397,0.09303999147456372,1.1309414329002685,0.5150300601202404,0.344830238206982,2.195374618787531,0.531062124248497,0.2077235168627517,0.8129854819373645,0.5222672064777328,0.21519791551476578,1,True,True,False,17490,no consistent edge
EMERGENCY_EXIT_04,EXIT100,market,2284,0.13058890794739852,0.012079610834897017,0.3195379819520504,0.4951838879159369,0.25131510469599494,2.981226838070133,0.5083187390542907,0.36195647593713953,2.822934337542328,0.5257595772787318,0.20845039715601046,2,True,True,True,17490,kept
